Gene stable ID,Gene name,Chromosome/scaffold name,Gene start (bp),Gene end (bp),Gene type,Gene name 115
ENSGALG00010006479,,3,56662242,56668152,lncRNA,
ENSGALG00010006480,IFT74,Z,69100351,69133270,protein_coding,IFT74
ENSGALG00010006481,,2,11915181,11938474,lncRNA,
ENSGALG00010006482,,3,56711061,56788832,lncRNA,
ENSGALG00010006483,,3,56767604,56768986,lncRNA,
ENSGALG00010006484,,3,57040974,57042910,lncRNA,
ENSGALG00010006485,,3,57149987,57157566,lncRNA,
ENSGALG00010006486,FGFR1OP,3,42181310,42206540,protein_coding,FGFR1OP
ENSGALG00010006487,,3,57279655,57282721,lncRNA,
ENSGALG00010006488,,3,57290889,57294274,lncRNA,
ENSGALG00010006489,,2,11851806,11879717,lncRNA,
ENSGALG00010006490,,3,57295866,57300030,lncRNA,
ENSGALG00010006491,,3,57339011,57348617,lncRNA,
ENSGALG00010006492,GAP43,1,82292162,82346200,protein_coding,GAP43
ENSGALG00010006493,,3,57379287,57415827,lncRNA,
ENSGALG00010006494,,2,11918123,11967314,lncRNA,
ENSGALG00010006495,,3,57484762,57497903,lncRNA,
ENSGALG00010006496,UBE2H,1,1391671,1435875,protein_coding,UBE2H
ENSGALG00010006497,,2,11970245,12047994,lncRNA,
ENSGALG00010006498,,3,57640819,57649901,lncRNA,
ENSGALG00010006499,CCR6,3,42155330,42166284,protein_coding,CCR6
ENSGALG00010006500,,3,58195401,58200262,lncRNA,
ENSGALG00010006501,,3,58220135,58222774,lncRNA,
ENSGALG00010006502,,3,58736595,58751093,lncRNA,
ENSGALG00010006503,LRRC19,Z,69105747,69112338,protein_coding,LRRC19
ENSGALG00010006504,,3,58750844,58753367,lncRNA,
ENSGALG00010006505,,3,59077317,59153094,lncRNA,
ENSGALG00010006506,ZNF827,4,30787425,30901172,protein_coding,ZNF827
ENSGALG00010006507,,2,12677015,12691610,lncRNA,
ENSGALG00010006508,,3,59160813,59165237,lncRNA,
ENSGALG00010006509,,3,59297771,59313039,lncRNA,
ENSGALG00010006510,,3,59528207,59535487,lncRNA,
ENSGALG00010006511,,3,59872737,59877154,lncRNA,
ENSGALG00010006512,,3,59880701,59882855,lncRNA,
ENSGALG00010006513,,3,59882977,59885101,lncRNA,
ENSGALG00010006514,,2,12519086,12625801,lncRNA,
ENSGALG00010006515,FBXO33,5,37160361,37178430,protein_coding,FBXO33
ENSGALG00010006516,NBEA,1,172875165,173345883,protein_coding,NBEA
ENSGALG00010006517,ZBTB20,1,82937629,82965606,protein_coding,ZBTB20
ENSGALG00010006518,,3,60690929,60694963,lncRNA,
ENSGALG00010006519,,2,12673986,12693428,lncRNA,
ENSGALG00010006520,,Z,64925660,64928053,protein_coding,
ENSGALG00010006521,ZNF410,5,37179709,37198121,protein_coding,ZNF410
ENSGALG00010006522,,3,60730733,60734496,lncRNA,
ENSGALG00010006523,,2,12748329,12761008,lncRNA,
ENSGALG00010006524,TAB2,3,47751243,47771912,protein_coding,TAB2
ENSGALG00010006525,,2,13022627,13061584,lncRNA,
ENSGALG00010006526,LSM6,4,30935903,30950120,protein_coding,LSM6
ENSGALG00010006527,,3,50720269,50795389,lncRNA,
ENSGALG00010006528,ZC3HC1,1,1436603,1446071,protein_coding,ZC3HC1
ENSGALG00010006529,,2,13501435,13525312,lncRNA,
ENSGALG00010006530,REELD1,4,30955126,30965961,protein_coding,REELD1
ENSGALG00010006531,FAM161B,5,37196957,37205326,protein_coding,FAM161B
ENSGALG00010006532,KLHDC10,1,1446328,1461719,protein_coding,KLHDC10
ENSGALG00010006533,,2,13603320,13656765,lncRNA,
ENSGALG00010006534,,3,50808793,50820340,lncRNA,
ENSGALG00010006535,,2,13637791,13706735,lncRNA,
ENSGALG00010006536,,1,1462130,1468425,protein_coding,
ENSGALG00010006537,DRD3,1,83009381,83022450,protein_coding,DRD3
ENSGALG00010006538,TEK,Z,69139769,69176902,protein_coding,TEK
ENSGALG00010006539,,2,13961416,13968998,lncRNA,
ENSGALG00010006540,,3,50828726,50839923,lncRNA,
ENSGALG00010006541,,2,14101264,14133499,lncRNA,
ENSGALG00010006542,RFC3,1,173726298,173748880,protein_coding,RFC3
ENSGALG00010006543,,3,51166234,51207475,lncRNA,
ENSGALG00010006544,,Z,69192476,69275685,protein_coding,MOB3B
ENSGALG00010006545,,2,14102994,14114848,lncRNA,
ENSGALG00010006546,SMOC2,3,41285913,41421743,protein_coding,SMOC2
ENSGALG00010006547,,3,52332391,52410975,lncRNA,
ENSGALG00010006548,TMEM209,1,1471509,1483335,protein_coding,TMEM209
ENSGALG00010006549,ZDHHC23,1,83072286,83079528,protein_coding,ZDHHC23
ENSGALG00010006550,,2,14416137,14429444,lncRNA,
ENSGALG00010006551,,3,52334072,52410971,lncRNA,
ENSGALG00010006552,CPA2,1,1487539,1498010,protein_coding,CPA2
ENSGALG00010006553,,Z,69269523,69270673,protein_coding,
ENSGALG00010006554,,3,52464560,52502000,lncRNA,
ENSGALG00010006555,,2,14430552,14437440,lncRNA,
ENSGALG00010006556,,2,14431548,14437435,lncRNA,
ENSGALG00010006557,COQ6,5,37205259,37238489,protein_coding,COQ6
ENSGALG00010006558,USP10,11,16504697,16551749,protein_coding,USP10
ENSGALG00010006559,,3,52665226,52689494,lncRNA,
ENSGALG00010006560,,3,52771698,52809201,lncRNA,
ENSGALG00010006561,,2,14695951,14724796,lncRNA,
ENSGALG00010006562,,3,52790392,52851511,lncRNA,
ENSGALG00010006563,,1,1488938,1490204,protein_coding,
ENSGALG00010006564,SLC10A7,4,30974486,31126217,protein_coding,SLC10A7
ENSGALG00010006565,,2,14719850,14740101,lncRNA,
ENSGALG00010006566,CPA5,1,1497904,1502453,protein_coding,CPA5
ENSGALG00010006567,,3,52847637,52862480,lncRNA,
ENSGALG00010006568,ENTPD5,5,37213523,37233221,protein_coding,ENTPD5
ENSGALG00010006569,,2,14725105,14746861,lncRNA,
ENSGALG00010006570,SULT6B1L,3,41495496,41515702,protein_coding,SULT6B1L
ENSGALG00010006571,,3,52908842,52922258,lncRNA,
ENSGALG00010006572,POU4F2,4,31147429,31150066,protein_coding,POU4F2
ENSGALG00010006573,,2,14870899,14887086,lncRNA,
ENSGALG00010006574,CPA1,1,1503030,1507277,protein_coding,CPA1
ENSGALG00010006575,SSBP2,Z,64244514,64411481,protein_coding,SSBP2
ENSGALG00010006576,CCDC191,1,83048704,83072279,protein_coding,CCDC191
ENSGALG00010006577,,3,52960670,53044765,lncRNA,
ENSGALG00010006578,,2,15162445,15201118,lncRNA,
ENSGALG00010006579,,2,15318569,15347165,lncRNA,
ENSGALG00010006580,ALDH6A1,5,37235362,37253068,protein_coding,ALDH6A1
ENSGALG00010006581,CEP41,1,1507199,1516893,protein_coding,CEP41
ENSGALG00010006582,,2,15650975,15674029,lncRNA,
ENSGALG00010006583,,3,53087329,53138645,lncRNA,
ENSGALG00010006584,,2,15711325,15724518,lncRNA,
ENSGALG00010006585,TTC29,4,31158427,31348719,protein_coding,TTC29
ENSGALG00010006586,,2,16125621,16152312,lncRNA,
ENSGALG00010006587,,3,53288464,53425872,lncRNA,
ENSGALG00010006588,ACOT12,Z,64424783,64456086,protein_coding,ACOT12
ENSGALG00010006589,,2,16131406,16149681,lncRNA,
ENSGALG00010006590,,3,53336745,53400826,lncRNA,
ENSGALG00010006591,,3,53452763,53460188,lncRNA,
ENSGALG00010006592,STARD13,1,173778752,174078935,protein_coding,STARD13
ENSGALG00010006593,,3,53876980,53882496,lncRNA,
ENSGALG00010006594,,2,16600965,16609104,lncRNA,
ENSGALG00010006595,,3,54173549,54181528,lncRNA,
ENSGALG00010006596,,3,54286713,54362944,lncRNA,
ENSGALG00010006597,,3,54341468,54349954,lncRNA,
ENSGALG00010006598,,1,173839594,173887558,protein_coding,
ENSGALG00010006599,,3,54309222,54335185,lncRNA,
ENSGALG00010006600,,Z,61638825,61640427,protein_coding,
ENSGALG00010006601,,3,54318735,54331568,lncRNA,
ENSGALG00010006602,EDNRA,4,31478298,31510526,protein_coding,EDNRA
ENSGALG00010006603,MEST,1,1517049,1522232,protein_coding,MEST
ENSGALG00010006604,,3,54463424,54477387,lncRNA,
ENSGALG00010006605,,2,17194608,17243247,lncRNA,
ENSGALG00010006606,SULT,3,41518627,41555799,protein_coding,SULT
ENSGALG00010006607,,3,55119531,55160555,lncRNA,
ENSGALG00010006608,KL,1,174087939,174134392,protein_coding,KL
ENSGALG00010006609,,3,55146942,55154989,lncRNA,
ENSGALG00010006610,,2,17575561,17597274,lncRNA,
ENSGALG00010006611,,3,55157209,55230664,lncRNA,
ENSGALG00010006612,,2,17656175,17731042,lncRNA,
ENSGALG00010006613,,3,55166662,55181248,lncRNA,
ENSGALG00010006614,TMEM184C,4,31531638,31542927,protein_coding,TMEM184C
ENSGALG00010006615,GRAMD1C,1,83080333,83144418,protein_coding,GRAMD1C
ENSGALG00010006616,COPG2,1,1520366,1541146,protein_coding,COPG2
ENSGALG00010006617,,2,17943138,17949904,lncRNA,
ENSGALG00010006618,,2,17972685,17976162,lncRNA,
ENSGALG00010006619,LIN52,5,37252745,37295205,protein_coding,LIN52
ENSGALG00010006620,,2,18365020,18421517,lncRNA,
ENSGALG00010006621,DACT2,3,41557377,41570971,protein_coding,DACT2
ENSGALG00010006622,,2,18670487,18677641,lncRNA,
ENSGALG00010006623,,1,174192440,174204010,protein_coding,
ENSGALG00010006624,,1,83135498,83144009,protein_coding,
ENSGALG00010006625,,1,1553290,1554517,protein_coding,
ENSGALG00010006626,,3,55536175,55563074,lncRNA,
ENSGALG00010006627,SF3B5,3,45554120,45556271,protein_coding,SF3B5
ENSGALG00010006628,,2,18949973,18985350,lncRNA,
ENSGALG00010006629,,3,55532725,55556203,lncRNA,
ENSGALG00010006630,,2,18968266,18970428,lncRNA,
ENSGALG00010006631,,3,55579734,55702678,lncRNA,
ENSGALG00010006632,,2,19313209,19332027,lncRNA,
ENSGALG00010006633,FBXO18,1,1557860,1582406,protein_coding,FBXO18
ENSGALG00010006634,PRMT9,4,31541133,31560514,protein_coding,PRMT9
ENSGALG00010006635,,3,49602645,49609424,protein_coding,
ENSGALG00010006636,,3,55777983,55783900,lncRNA,
ENSGALG00010006637,,3,40701000,40703919,lncRNA,
ENSGALG00010006638,,3,40704405,40707591,lncRNA,
ENSGALG00010006639,,2,19688519,19692371,lncRNA,
ENSGALG00010006640,gga-mir-12240,2,17633634,17633694,miRNA,gga-mir-12240
ENSGALG00010006641,PLA2G10L,1,83145670,83159131,protein_coding,PLA2G10L
ENSGALG00010006642,,3,40747082,40749676,lncRNA,
ENSGALG00010006643,gga-mir-1661,2,19709362,19709422,miRNA,gga-mir-1661
ENSGALG00010006644,,3,40959393,40980381,lncRNA,
ENSGALG00010006645,gga-mir-6628,2,12061453,12061562,miRNA,gga-mir-6628
ENSGALG00010006646,,3,55964757,56050107,lncRNA,
ENSGALG00010006647,,3,40996922,41013731,lncRNA,
ENSGALG00010006648,,3,41064893,41066328,lncRNA,
ENSGALG00010006649,GPR15,1,83448752,83449858,protein_coding,GPR15
ENSGALG00010006650,,3,41128692,41144579,lncRNA,
ENSGALG00010006651,,2,15923966,15975814,protein_coding,
ENSGALG00010006652,,3,55981662,56031984,lncRNA,
ENSGALG00010006653,CFL2,5,35468782,35476996,protein_coding,CFL2
ENSGALG00010006654,,3,41163268,41170175,lncRNA,
ENSGALG00010006655,,3,41171099,41172759,lncRNA,
ENSGALG00010006656,,3,56313109,56333088,lncRNA,
ENSGALG00010006657,PDS5B,1,174235651,174336085,protein_coding,PDS5B
ENSGALG00010006658,,3,41452810,41454640,lncRNA,
ENSGALG00010006659,,3,41464397,41466293,lncRNA,
ENSGALG00010006660,,3,41475992,41477902,lncRNA,
ENSGALG00010006661,,3,41480381,41482146,lncRNA,
ENSGALG00010006662,,3,56701291,56750034,lncRNA,
ENSGALG00010006663,,3,41480621,41482317,lncRNA,
ENSGALG00010006664,,1,87799960,87801279,protein_coding,
ENSGALG00010006665,,3,56767604,56791766,lncRNA,
ENSGALG00010006666,,3,41598697,41601218,lncRNA,
ENSGALG00010006667,,3,41680977,41682606,lncRNA,
ENSGALG00010006668,,3,41694470,41701249,lncRNA,
ENSGALG00010006669,,3,56776983,56798146,lncRNA,
ENSGALG00010006670,ANKRD16,1,1582631,1597555,protein_coding,ANKRD16
ENSGALG00010006671,,3,56802547,56835255,lncRNA,
ENSGALG00010006672,,3,41901676,41907550,lncRNA,
ENSGALG00010006673,BAZ1A,5,35483022,35537097,protein_coding,BAZ1A
ENSGALG00010006674,,3,41913030,41933562,lncRNA,
ENSGALG00010006675,,3,41966779,41967782,lncRNA,
ENSGALG00010006676,,3,56995722,57000620,lncRNA,
ENSGALG00010006677,,3,41968045,41970801,lncRNA,
ENSGALG00010006678,,1,87806690,87808021,protein_coding,
ENSGALG00010006679,,3,57011454,57022999,lncRNA,
ENSGALG00010006680,,3,41981612,41987172,lncRNA,
ENSGALG00010006681,CRISPLD2,11,16554286,16580416,protein_coding,CRISPLD2
ENSGALG00010006682,ARHGAP10,4,31562864,31691342,protein_coding,ARHGAP10
ENSGALG00010006683,,3,56998853,57028621,lncRNA,
ENSGALG00010006684,,1,84433180,84433422,protein_coding,
ENSGALG00010006685,,5,35565488,35584875,protein_coding,
ENSGALG00010006686,,3,42022206,42040888,lncRNA,
ENSGALG00010006687,,3,42035697,42067306,lncRNA,
ENSGALG00010006688,,3,42054132,42056855,lncRNA,
ENSGALG00010006689,,3,57029194,57048169,lncRNA,
ENSGALG00010006690,,3,42073893,42080427,lncRNA,
ENSGALG00010006691,,3,42231226,42233801,lncRNA,
ENSGALG00010006692,,3,57058469,57062973,lncRNA,
ENSGALG00010006693,,3,42591370,42594066,lncRNA,
ENSGALG00010006694,,1,82316536,82317183,protein_coding,
ENSGALG00010006695,,3,42642879,42649674,lncRNA,
ENSGALG00010006696,,3,43054434,43064689,lncRNA,
ENSGALG00010006697,,3,43322140,43336820,lncRNA,
ENSGALG00010006698,,3,57294533,57359540,lncRNA,
ENSGALG00010006699,,3,43766920,43770946,lncRNA,
ENSGALG00010006700,,1,81230951,81244659,lncRNA,
ENSGALG00010006701,LINGO2,Z,69409123,69894026,protein_coding,LINGO2
ENSGALG00010006702,,3,44841755,44853281,lncRNA,
ENSGALG00010006703,,1,81303615,81305905,lncRNA,
ENSGALG00010006704,,1,82287318,82289668,lncRNA,
ENSGALG00010006705,,3,45223725,45224985,lncRNA,
ENSGALG00010006706,,3,57386193,57412705,lncRNA,
ENSGALG00010006707,,3,45318102,45320324,lncRNA,
ENSGALG00010006708,,3,45318142,45320311,lncRNA,
ENSGALG00010006709,,1,82432851,82436529,lncRNA,
ENSGALG00010006710,,3,58898723,58901773,lncRNA,
ENSGALG00010006711,,1,82459757,82461579,lncRNA,
ENSGALG00010006712,,3,45355913,45357154,lncRNA,
ENSGALG00010006713,,1,82463809,82467182,lncRNA,
ENSGALG00010006714,,3,45374813,45438267,lncRNA,
ENSGALG00010006715,IRF8,11,17237126,17244581,protein_coding,IRF8
ENSGALG00010006716,,1,174346426,174391007,protein_coding,N4BP2L2
ENSGALG00010006717,,1,82574776,82623331,lncRNA,
ENSGALG00010006718,,3,45393441,45401668,lncRNA,
ENSGALG00010006719,,3,58984639,59061803,lncRNA,
ENSGALG00010006720,SRP54,5,35584752,35597592,protein_coding,SRP54
ENSGALG00010006721,,1,82625209,82631634,lncRNA,
ENSGALG00010006722,,1,82659248,82668218,lncRNA,
ENSGALG00010006723,,1,82670571,82672181,lncRNA,
ENSGALG00010006724,,3,45416537,45431285,lncRNA,
ENSGALG00010006725,,1,83164046,83167535,lncRNA,
ENSGALG00010006726,,1,83165909,83170564,lncRNA,
ENSGALG00010006727,,3,45522808,45525905,lncRNA,
ENSGALG00010006728,,1,174391629,174404087,protein_coding,N4BP2L1
ENSGALG00010006729,,1,83175145,83184087,lncRNA,
ENSGALG00010006730,HAPLN1,Z,63233198,63334679,protein_coding,HAPLN1
ENSGALG00010006731,,3,45603326,45613067,lncRNA,
ENSGALG00010006732,,3,59081060,59130888,lncRNA,
ENSGALG00010006733,,1,83189162,83194863,lncRNA,
ENSGALG00010006734,,1,83193821,83209106,lncRNA,
ENSGALG00010006735,NR3C2,4,31695487,31897635,protein_coding,NR3C2
ENSGALG00010006736,,1,83195961,83197519,lncRNA,
ENSGALG00010006737,,1,83208417,83232239,lncRNA,
ENSGALG00010006738,,3,45603326,45612220,lncRNA,
ENSGALG00010006739,VCAN,Z,63371690,63477536,protein_coding,VCAN
ENSGALG00010006740,BRCA2,1,174404322,174441071,protein_coding,BRCA2
ENSGALG00010006741,,3,59260557,59317956,lncRNA,
ENSGALG00010006742,,3,46535612,46545093,lncRNA,
ENSGALG00010006743,,3,46658643,46663074,lncRNA,
ENSGALG00010006744,,3,46677889,46679072,lncRNA,
ENSGALG00010006745,,4,31778322,31778748,protein_coding,
ENSGALG00010006746,,3,59527691,59543455,lncRNA,
ENSGALG00010006747,,1,83216520,83256406,lncRNA,
ENSGALG00010006748,FAM177A1,5,35601048,35615774,protein_coding,FAM177A1
ENSGALG00010006749,,3,46747257,46748543,lncRNA,
ENSGALG00010006750,,3,46889942,46893685,lncRNA,
ENSGALG00010006751,,3,59580745,59672149,lncRNA,
ENSGALG00010006752,ZAR1L,1,174442564,174444966,protein_coding,ZAR1L
ENSGALG00010006753,,1,83216876,83242042,lncRNA,
ENSGALG00010006754,,3,46903966,46907778,lncRNA,
ENSGALG00010006755,,3,59606229,59612307,lncRNA,
ENSGALG00010006756,,3,47454229,47456360,lncRNA,
ENSGALG00010006757,,3,59539068,59545716,lncRNA,
ENSGALG00010006758,,1,83219619,83241016,lncRNA,
ENSGALG00010006759,,3,47652147,47657300,lncRNA,
ENSGALG00010006760,TASOR2,1,1602495,1648631,protein_coding,FAM208B
ENSGALG00010006761,PPP2R3C,5,35614581,35627691,protein_coding,PPP2R3C
ENSGALG00010006762,,3,47706024,47708735,lncRNA,
ENSGALG00010006763,,3,59632790,59653856,lncRNA,
ENSGALG00010006764,,1,83223125,83241170,lncRNA,
ENSGALG00010006765,,1,83234821,83288199,lncRNA,
ENSGALG00010006766,,3,47779475,47784431,lncRNA,
ENSGALG00010006767,,11,17245350,17256074,protein_coding,DUSP22AL
ENSGALG00010006768,,1,83258473,83300591,lncRNA,
ENSGALG00010006769,,3,59857133,59865946,lncRNA,
ENSGALG00010006770,,3,47841414,47843975,lncRNA,
ENSGALG00010006771,,1,83273201,83277904,lncRNA,
ENSGALG00010006772,,1,83291298,83326605,lncRNA,
ENSGALG00010006773,SNORD100,3,56449292,56449378,snoRNA,SNORD100
ENSGALG00010006774,,3,47899612,47901902,lncRNA,
ENSGALG00010006775,,3,47995819,47999397,lncRNA,
ENSGALG00010006776,,3,47995819,47999395,lncRNA,
ENSGALG00010006777,,3,56448881,56449017,snoRNA,
ENSGALG00010006778,,3,48061525,48063631,lncRNA,
ENSGALG00010006779,SNORD101,3,56450678,56450750,snoRNA,SNORD101
ENSGALG00010006780,,3,48532879,48540506,lncRNA,
ENSGALG00010006781,,3,56448063,56448147,snoRNA,
ENSGALG00010006782,gga-mir-6697,3,57711596,57711705,miRNA,gga-mir-6697
ENSGALG00010006783,,3,48537414,48540627,lncRNA,
ENSGALG00010006784,gga-mir-1454,3,56449342,56449441,miRNA,gga-mir-1454
ENSGALG00010006785,,3,48827838,48829308,lncRNA,
ENSGALG00010006786,,1,83303455,83324658,lncRNA,
ENSGALG00010006787,gga-mir-1660,3,57913218,57913271,miRNA,gga-mir-1660
ENSGALG00010006788,,3,49132281,49133934,lncRNA,
ENSGALG00010006789,,3,49157240,49161785,lncRNA,
ENSGALG00010006790,gga-mir-7462,3,53826147,53826207,miRNA,gga-mir-7462
ENSGALG00010006791,,1,83313728,83333061,lncRNA,
ENSGALG00010006792,,1,83314994,83354523,lncRNA,
ENSGALG00010006793,,3,49208492,49214415,lncRNA,
ENSGALG00010006794,PERPA,3,54211121,54230821,protein_coding,PERPA
ENSGALG00010006795,,3,49307921,49310266,lncRNA,
ENSGALG00010006796,,1,83317885,83329046,lncRNA,
ENSGALG00010006797,,3,49534292,49537811,lncRNA,
ENSGALG00010006798,,3,49544996,49551193,lncRNA,
ENSGALG00010006799,,1,83318149,83324172,lncRNA,
ENSGALG00010006800,,3,49563453,49567403,lncRNA,
ENSGALG00010006801,,3,49585007,49596724,lncRNA,
ENSGALG00010006802,,1,83319185,83330977,lncRNA,
ENSGALG00010006803,COX4I1,11,17257334,17264001,protein_coding,COX4I1
ENSGALG00010006804,PSMA6,5,35665721,35679870,protein_coding,PSMA6
ENSGALG00010006805,,3,49974284,49976984,lncRNA,
ENSGALG00010006806,,3,50058635,50061919,lncRNA,
ENSGALG00010006807,,1,83319640,83327741,lncRNA,
ENSGALG00010006808,,3,50071250,50075475,lncRNA,
ENSGALG00010006809,,3,50078841,50080942,lncRNA,
ENSGALG00010006810,,3,50085256,50089590,lncRNA,
ENSGALG00010006811,,3,50097881,50099213,lncRNA,
ENSGALG00010006812,,1,83339542,83378370,lncRNA,
ENSGALG00010006813,,1,83340237,83381947,lncRNA,
ENSGALG00010006814,,4,32152897,32328658,protein_coding,IQCM
ENSGALG00010006815,,3,50099638,50104504,lncRNA,
ENSGALG00010006816,,3,56491731,56508042,protein_coding,
ENSGALG00010006817,,1,83345836,83382902,lncRNA,
ENSGALG00010006818,,1,83365423,83370363,lncRNA,
ENSGALG00010006819,EMC8,11,17261618,17270730,protein_coding,EMC8
ENSGALG00010006820,,1,83419161,83426745,lncRNA,
ENSGALG00010006821,XRCC4,Z,63485131,63689949,protein_coding,XRCC4
ENSGALG00010006822,,3,50120965,50122872,lncRNA,
ENSGALG00010006823,,3,50135775,50140050,lncRNA,
ENSGALG00010006824,,11,17276676,17277328,protein_coding,
ENSGALG00010006825,,3,50160265,50163757,lncRNA,
ENSGALG00010006826,,1,83584692,83600457,lncRNA,
ENSGALG00010006827,,3,50358484,50381133,lncRNA,
ENSGALG00010006828,GTF2A1,5,40330789,40357203,protein_coding,GTF2A1
ENSGALG00010006829,,1,83731972,83756654,lncRNA,
ENSGALG00010006830,,1,84315107,84325720,lncRNA,
ENSGALG00010006831,,1,84336716,84337810,lncRNA,
ENSGALG00010006832,,1,84355904,84357285,lncRNA,
ENSGALG00010006833,LTV1,3,51985186,51994416,protein_coding,LTV1
ENSGALG00010006834,,3,50570781,50630329,lncRNA,
ENSGALG00010006835,FRY,1,174446029,174690696,protein_coding,FRY
ENSGALG00010006836,,1,84445978,84456146,lncRNA,
ENSGALG00010006837,,1,84610522,84614421,lncRNA,
ENSGALG00010006838,ASB13,1,1654424,1666165,protein_coding,ASB13
ENSGALG00010006839,,3,50649199,50690959,lncRNA,
ENSGALG00010006840,GINS2,11,17278138,17282574,protein_coding,GINS2
ENSGALG00010006841,,1,84614034,84651540,lncRNA,
ENSGALG00010006842,,1,84614537,84699223,lncRNA,
ENSGALG00010006843,STON2,5,40374567,40442066,protein_coding,STON2
ENSGALG00010006844,,3,40938883,40976883,lncRNA,
ENSGALG00010006845,CALML3,1,1670884,1673613,protein_coding,CALML3
ENSGALG00010006846,,1,84618595,84635718,lncRNA,
ENSGALG00010006847,SEL1L,5,40447649,40476663,protein_coding,SEL1L
ENSGALG00010006848,,1,85380522,85383351,lncRNA,
ENSGALG00010006849,,3,41681518,41701618,lncRNA,
ENSGALG00010006850,C5H14orf4,5,38524192,38527961,protein_coding,C5H14orf4
ENSGALG00010006851,TMEM167A,Z,63683995,63756310,protein_coding,TMEM167A
ENSGALG00010006852,,1,85959350,85989527,lncRNA,
ENSGALG00010006853,NET1,1,1675660,1727713,protein_coding,NET1
ENSGALG00010006854,FOXG1,5,33030827,33034151,protein_coding,FOXG1
ENSGALG00010006855,DCLK2,4,32338415,32415439,protein_coding,DCLK2
ENSGALG00010006856,,1,85993488,86117653,lncRNA,
ENSGALG00010006857,,3,41082711,41218701,lncRNA,
ENSGALG00010006858,,1,86004067,86006215,lncRNA,
ENSGALG00010006859,,1,86054540,86058162,lncRNA,
ENSGALG00010006860,INSM2,5,35739191,35740543,protein_coding,INSM2
ENSGALG00010006861,,1,86174383,86177015,lncRNA,
ENSGALG00010006862,,1,86178935,86200075,lncRNA,
ENSGALG00010006863,,5,30652368,30656464,lncRNA,
ENSGALG00010006864,,1,86194859,86222908,lncRNA,
ENSGALG00010006865,EFCAB2,3,34314724,34337249,protein_coding,EFCAB2
ENSGALG00010006866,,5,30660998,30669529,lncRNA,
ENSGALG00010006867,,1,86305696,86314481,lncRNA,
ENSGALG00010006868,,3,41066473,41088589,lncRNA,
ENSGALG00010006869,,5,30713503,30716857,lncRNA,
ENSGALG00010006870,,5,30716994,30721554,lncRNA,
ENSGALG00010006871,,1,86329957,86336799,lncRNA,
ENSGALG00010006872,,3,41201704,41248285,lncRNA,
ENSGALG00010006873,,1,86365095,86407065,lncRNA,
ENSGALG00010006874,,1,86440148,86445276,lncRNA,
ENSGALG00010006875,,5,30898284,30924020,lncRNA,
ENSGALG00010006876,,1,86494790,86550376,lncRNA,
ENSGALG00010006877,GSE1,11,17284044,17372841,protein_coding,GSE1
ENSGALG00010006878,,1,86661151,86676885,lncRNA,
ENSGALG00010006879,,3,41243420,41284599,lncRNA,
ENSGALG00010006880,,1,86677999,86721764,lncRNA,
ENSGALG00010006881,,5,31063602,31104987,lncRNA,
ENSGALG00010006882,,5,31213436,31215147,lncRNA,
ENSGALG00010006883,LRBA,4,32422081,32794976,protein_coding,LRBA
ENSGALG00010006884,,1,86747843,86750360,lncRNA,
ENSGALG00010006885,RHOU,3,39462163,39468609,protein_coding,RHOU
ENSGALG00010006886,,1,86887334,86891875,lncRNA,
ENSGALG00010006887,,5,31256618,31261540,lncRNA,
ENSGALG00010006888,,1,86890892,86892059,lncRNA,
ENSGALG00010006889,,5,31277808,31307147,lncRNA,
ENSGALG00010006890,,1,87033607,87040571,lncRNA,
ENSGALG00010006891,,3,41593212,41601264,lncRNA,
ENSGALG00010006892,,1,87177646,87194751,lncRNA,
ENSGALG00010006893,,5,31350793,31410643,lncRNA,
ENSGALG00010006894,,5,31660393,31664324,lncRNA,
ENSGALG00010006895,,1,87591705,87605994,lncRNA,
ENSGALG00010006896,,5,31662238,31667110,lncRNA,
ENSGALG00010006897,,1,87766780,87767941,lncRNA,
ENSGALG00010006898,,5,31753768,31758763,lncRNA,
ENSGALG00010006899,,3,41623231,41666474,lncRNA,
ENSGALG00010006900,,1,87839542,87842062,lncRNA,
ENSGALG00010006901,TUBAL3,1,1727414,1743448,protein_coding,TUBAL3
ENSGALG00010006902,,1,87906402,87913453,lncRNA,
ENSGALG00010006903,B3GLCT,1,174787489,174845547,protein_coding,B3GLCT
ENSGALG00010006904,,3,41906134,41940638,lncRNA,
ENSGALG00010006905,,5,31779281,31787147,lncRNA,
ENSGALG00010006906,,5,31800127,31801860,lncRNA,
ENSGALG00010006907,,5,31800639,31811573,lncRNA,
ENSGALG00010006908,,3,41941400,42006854,lncRNA,
ENSGALG00010006909,,5,31870534,31892591,lncRNA,
ENSGALG00010006910,,1,88048954,88066434,lncRNA,
ENSGALG00010006911,,5,32241632,32253774,lncRNA,
ENSGALG00010006912,HUS1,2,54973981,54983218,protein_coding,HUS1
ENSGALG00010006913,HSPH1,1,174847302,174869372,protein_coding,HSPH1
ENSGALG00010006914,,5,32476513,32487062,lncRNA,
ENSGALG00010006915,,5,32490215,32498172,lncRNA,
ENSGALG00010006916,,1,88066451,88075993,lncRNA,
ENSGALG00010006917,,5,32494274,32502691,lncRNA,
ENSGALG00010006918,,3,41977095,42001116,lncRNA,
ENSGALG00010006919,,1,88052126,88279096,lncRNA,
ENSGALG00010006920,,5,32498562,32502570,lncRNA,
