Gene_stable_ID,Version (gene),Gene_name,Human_gene_stable_ID,Human_gene_name
ENSGALG00010007107,1,,,
ENSGALG00010007108,1,MBOAT1,ENSG00000172197,MBOAT1
ENSGALG00010007109,1,,,
ENSGALG00010007110,1,ARL6,ENSG00000080200,CRYBG3
ENSGALG00010007111,1,,,
ENSGALG00010007112,1,,,
ENSGALG00010007113,1,,,
ENSGALG00010007114,1,CKLF,ENSG00000217555,CKLF
ENSGALG00010007115,1,,ENSG00000183542,KLRC4
ENSGALG00010007115,1,,ENSG00000173391,OLR1
ENSGALG00010007115,1,,ENSG00000110852,CLEC2B
ENSGALG00010007115,1,,ENSG00000205810,KLRC3
ENSGALG00010007115,1,,ENSG00000205809,KLRC2
ENSGALG00010007115,1,,ENSG00000188393,CLEC2A
ENSGALG00010007115,1,,ENSG00000150048,CLEC1A
ENSGALG00010007115,1,,ENSG00000256797,KLRF2
ENSGALG00010007115,1,,ENSG00000134545,KLRC1
ENSGALG00010007115,1,,ENSG00000134539,KLRD1
ENSGALG00010007115,1,,ENSG00000165682,CLEC1B
ENSGALG00010007115,1,,ENSG00000256660,CLEC12B
ENSGALG00010007115,1,,ENSG00000188883,KLRG2
ENSGALG00010007116,1,,,
ENSGALG00010007117,1,,,
ENSGALG00010007118,1,,ENSG00000164151,ICE1
ENSGALG00010007119,1,,,
ENSGALG00010007120,1,,,
ENSGALG00010007121,1,,,
ENSGALG00010007122,1,,,
ENSGALG00010007123,1,,ENSG00000183542,KLRC4
ENSGALG00010007123,1,,ENSG00000173391,OLR1
ENSGALG00010007123,1,,ENSG00000110852,CLEC2B
ENSGALG00010007123,1,,ENSG00000205810,KLRC3
ENSGALG00010007123,1,,ENSG00000205809,KLRC2
ENSGALG00010007123,1,,ENSG00000188393,CLEC2A
ENSGALG00010007123,1,,ENSG00000150048,CLEC1A
ENSGALG00010007123,1,,ENSG00000256797,KLRF2
ENSGALG00010007123,1,,ENSG00000134545,KLRC1
ENSGALG00010007123,1,,ENSG00000134539,KLRD1
ENSGALG00010007123,1,,ENSG00000165682,CLEC1B
ENSGALG00010007123,1,,ENSG00000256660,CLEC12B
ENSGALG00010007123,1,,ENSG00000188883,KLRG2
ENSGALG00010007124,1,,,
ENSGALG00010007125,1,,,
ENSGALG00010007126,1,,,
ENSGALG00010007127,1,,,
ENSGALG00010007128,1,,,
ENSGALG00010007129,1,,,
ENSGALG00010007130,1,IRF2,ENSG00000168310,IRF2
ENSGALG00010007131,1,,,
ENSGALG00010007132,1,,,
ENSGALG00010007133,1,BLVRA,ENSG00000106605,BLVRA
ENSGALG00010007134,1,,,
ENSGALG00010007135,1,TK2,ENSG00000166548,TK2
ENSGALG00010007136,1,,,
ENSGALG00010007137,1,,ENSG00000183542,KLRC4
ENSGALG00010007137,1,,ENSG00000173391,OLR1
ENSGALG00010007137,1,,ENSG00000110852,CLEC2B
ENSGALG00010007137,1,,ENSG00000205810,KLRC3
ENSGALG00010007137,1,,ENSG00000205809,KLRC2
ENSGALG00010007137,1,,ENSG00000188393,CLEC2A
ENSGALG00010007137,1,,ENSG00000150048,CLEC1A
ENSGALG00010007137,1,,ENSG00000256797,KLRF2
ENSGALG00010007137,1,,ENSG00000134545,KLRC1
ENSGALG00010007137,1,,ENSG00000134539,KLRD1
ENSGALG00010007137,1,,ENSG00000165682,CLEC1B
ENSGALG00010007137,1,,ENSG00000256660,CLEC12B
ENSGALG00010007137,1,,ENSG00000188883,KLRG2
ENSGALG00010007138,1,,,
ENSGALG00010007139,1,,,
ENSGALG00010007140,1,,,
ENSGALG00010007141,1,PRKD3,ENSG00000115825,PRKD3
ENSGALG00010007142,1,,,
ENSGALG00010007143,1,CKMT2,ENSG00000131730,CKMT2
ENSGALG00010007144,1,,,
ENSGALG00010007145,1,,,
ENSGALG00010007146,1,,,
ENSGALG00010007147,1,,,
ENSGALG00010007148,1,,,
ENSGALG00010007149,1,,,
ENSGALG00010007150,1,,,
ENSGALG00010007151,1,,,
ENSGALG00010007152,1,,,
ENSGALG00010007153,1,,,
ENSGALG00010007154,1,,,
ENSGALG00010007155,1,FOXL1,ENSG00000176678,FOXL1
ENSGALG00010007156,1,,,
ENSGALG00010007157,1,,,
ENSGALG00010007158,1,,,
ENSGALG00010007159,1,,,
ENSGALG00010007160,1,,ENSG00000183542,KLRC4
ENSGALG00010007160,1,,ENSG00000173391,OLR1
ENSGALG00010007160,1,,ENSG00000110852,CLEC2B
ENSGALG00010007160,1,,ENSG00000205810,KLRC3
ENSGALG00010007160,1,,ENSG00000205809,KLRC2
ENSGALG00010007160,1,,ENSG00000188393,CLEC2A
ENSGALG00010007160,1,,ENSG00000150048,CLEC1A
ENSGALG00010007160,1,,ENSG00000256797,KLRF2
ENSGALG00010007160,1,,ENSG00000134545,KLRC1
ENSGALG00010007160,1,,ENSG00000134539,KLRD1
ENSGALG00010007160,1,,ENSG00000165682,CLEC1B
ENSGALG00010007160,1,,ENSG00000256660,CLEC12B
ENSGALG00010007160,1,,ENSG00000188883,KLRG2
ENSGALG00010007161,1,,,
ENSGALG00010007162,1,,ENSG00000132938,MTUS2
ENSGALG00010007163,1,,,
ENSGALG00010007164,1,,,
ENSGALG00010007165,1,,ENSG00000183542,KLRC4
ENSGALG00010007165,1,,ENSG00000173391,OLR1
ENSGALG00010007165,1,,ENSG00000110852,CLEC2B
ENSGALG00010007165,1,,ENSG00000205810,KLRC3
ENSGALG00010007165,1,,ENSG00000205809,KLRC2
ENSGALG00010007165,1,,ENSG00000188393,CLEC2A
ENSGALG00010007165,1,,ENSG00000150048,CLEC1A
ENSGALG00010007165,1,,ENSG00000256797,KLRF2
ENSGALG00010007165,1,,ENSG00000134545,KLRC1
ENSGALG00010007165,1,,ENSG00000134539,KLRD1
ENSGALG00010007165,1,,ENSG00000165682,CLEC1B
ENSGALG00010007165,1,,ENSG00000256660,CLEC12B
ENSGALG00010007165,1,,ENSG00000188883,KLRG2
ENSGALG00010007166,1,RASGRF2,ENSG00000113319,RASGRF2
ENSGALG00010007167,1,,,
ENSGALG00010007168,1,MINA,ENSG00000170854,RIOX2
ENSGALG00010007169,1,QPCT,ENSG00000115828,QPCT
ENSGALG00010007170,1,,,
ENSGALG00010007171,1,,,
ENSGALG00010007172,1,,,
ENSGALG00010007173,1,,,
ENSGALG00010007174,1,,ENSG00000206910,SNORA29
ENSGALG00010007175,1,FOXC2,ENSG00000176692,FOXC2
ENSGALG00010007176,1,gga-mir-1734,,
ENSGALG00010007177,1,,,
ENSGALG00010007178,1,,,
ENSGALG00010007179,1,gga-mir-1767,,
ENSGALG00010007180,1,gga-mir-12261,,
ENSGALG00010007181,1,GJB2,ENSG00000121742,GJB6
ENSGALG00010007181,1,GJB2,ENSG00000165474,GJB2
ENSGALG00010007182,1,,ENSG00000183542,KLRC4
ENSGALG00010007182,1,,ENSG00000173391,OLR1
ENSGALG00010007182,1,,ENSG00000110852,CLEC2B
ENSGALG00010007182,1,,ENSG00000205810,KLRC3
ENSGALG00010007182,1,,ENSG00000205809,KLRC2
ENSGALG00010007182,1,,ENSG00000188393,CLEC2A
ENSGALG00010007182,1,,ENSG00000150048,CLEC1A
ENSGALG00010007182,1,,ENSG00000256797,KLRF2
ENSGALG00010007182,1,,ENSG00000134545,KLRC1
ENSGALG00010007182,1,,ENSG00000134539,KLRD1
ENSGALG00010007182,1,,ENSG00000165682,CLEC1B
ENSGALG00010007182,1,,ENSG00000256660,CLEC12B
ENSGALG00010007182,1,,ENSG00000188883,KLRG2
ENSGALG00010007183,1,VOPP1,ENSG00000154978,VOPP1
ENSGALG00010007184,1,VGLL3,ENSG00000206538,VGLL3
ENSGALG00010007185,1,,,
ENSGALG00010007186,1,,,
ENSGALG00010007187,1,ENPP6,ENSG00000164303,ENPP6
ENSGALG00010007188,1,MAB21L1,ENSG00000180660,MAB21L1
ENSGALG00010007189,1,,,
ENSGALG00010007190,1,,ENSG00000131018,SYNE1
ENSGALG00010007191,1,,,
ENSGALG00010007192,1,,,
ENSGALG00010007193,1,,,
ENSGALG00010007194,1,,,
ENSGALG00010007195,1,,,
ENSGALG00010007196,1,,,
ENSGALG00010007197,1,,,
ENSGALG00010007198,1,,,
ENSGALG00010007199,1,,,
ENSGALG00010007200,1,,,
ENSGALG00010007201,1,,ENSG00000131018,SYNE1
ENSGALG00010007202,1,,,
ENSGALG00010007203,1,SLC30A6,ENSG00000152683,SLC30A6
ENSGALG00010007204,1,LANCL2,ENSG00000132434,LANCL2
ENSGALG00010007205,1,,,
ENSGALG00010007206,1,,,
ENSGALG00010007207,1,EPM2A,ENSG00000112425,EPM2A
ENSGALG00010007208,1,,,
ENSGALG00010007209,1,,,
ENSGALG00010007210,1,,,
ENSGALG00010007211,1,,,
ENSGALG00010007212,1,,,
ENSGALG00010007213,1,,,
ENSGALG00010007214,1,MTHFSD,ENSG00000103248,MTHFSD
ENSGALG00010007215,1,,,
ENSGALG00010007216,1,,,
ENSGALG00010007217,1,MSH3,ENSG00000113318,MSH3
ENSGALG00010007218,1,,,
ENSGALG00010007219,1,,,
ENSGALG00010007220,1,,,
ENSGALG00010007221,1,,,
ENSGALG00010007222,1,,,
ENSGALG00010007223,1,FOXF1,ENSG00000103241,FOXF1
ENSGALG00010007224,1,DHFR,ENSG00000178700,DHFR2
ENSGALG00010007224,1,DHFR,ENSG00000228716,DHFR
ENSGALG00010007225,1,,,
ENSGALG00010007226,1,PLG,ENSG00000122194,PLG
ENSGALG00010007227,1,,,
ENSGALG00010007228,1,,,
ENSGALG00010007229,1,,,
ENSGALG00010007230,1,,ENSG00000287839,
ENSGALG00010007231,1,,,
ENSGALG00010007232,1,,,
ENSGALG00010007233,1,,,
ENSGALG00010007234,1,,,
ENSGALG00010007235,1,,,
ENSGALG00010007236,1,,,
ENSGALG00010007237,1,,,
ENSGALG00010007238,1,,,
ENSGALG00010007239,1,,,
ENSGALG00010007240,1,,,
ENSGALG00010007241,1,,,
ENSGALG00010007242,1,,,
ENSGALG00010007243,1,BEAN1,,
ENSGALG00010007244,1,,,
ENSGALG00010007245,1,,,
ENSGALG00010007246,1,,,
ENSGALG00010007247,1,,,
ENSGALG00010007248,1,,,
ENSGALG00010007249,1,,,
ENSGALG00010007250,1,,,
ENSGALG00010007251,1,SPAST,ENSG00000021574,SPAST
ENSGALG00010007252,1,NFATC1,ENSG00000131196,NFATC1
ENSGALG00010007253,1,,,
ENSGALG00010007254,1,gga-mir-7446,,
ENSGALG00010007255,1,gga-mir-1690,,
ENSGALG00010007256,1,,,
ENSGALG00010007257,1,,,
ENSGALG00010007258,1,,,
ENSGALG00010007259,1,ANKRD34B,ENSG00000189127,ANKRD34B
ENSGALG00010007260,1,,,
ENSGALG00010007261,1,,,
ENSGALG00010007262,1,,,
ENSGALG00010007263,1,,,
ENSGALG00010007264,1,,,
ENSGALG00010007265,1,CD200R1A,ENSG00000206531,CD200R1L
ENSGALG00010007265,1,CD200R1A,ENSG00000163606,CD200R1
ENSGALG00010007266,1,,,
ENSGALG00010007267,1,,,
ENSGALG00010007268,1,,,
ENSGALG00010007269,1,,,
ENSGALG00010007270,1,CDH5,ENSG00000179776,CDH5
ENSGALG00010007271,1,CADM2,ENSG00000175161,CADM2
ENSGALG00010007272,1,,,
ENSGALG00010007273,1,,,
ENSGALG00010007274,1,,,
ENSGALG00010007275,1,DPY30,ENSG00000162961,DPY30
ENSGALG00010007276,1,,,
ENSGALG00010007277,1,FAM151BL,ENSG00000152380,FAM151B
ENSGALG00010007278,1,,,
ENSGALG00010007279,1,,,
ENSGALG00010007280,1,,,
ENSGALG00010007281,1,,,
ENSGALG00010007282,1,,,
ENSGALG00010007283,1,STOX2,ENSG00000173320,STOX2
ENSGALG00010007284,1,ZFYVE16,,
ENSGALG00010007285,1,,,
ENSGALG00010007286,1,,,
ENSGALG00010007287,1,,,
ENSGALG00010007288,1,,,
ENSGALG00010007289,1,,,
ENSGALG00010007290,1,,,
ENSGALG00010007291,1,,,
ENSGALG00010007292,1,,,
ENSGALG00010007293,1,,,
ENSGALG00010007294,1,TRAPPC11,ENSG00000168538,TRAPPC11
ENSGALG00010007295,1,,ENSG00000010318,PHF7
ENSGALG00010007296,1,,,
ENSGALG00010007297,1,,,
ENSGALG00010007298,1,,,
ENSGALG00010007299,1,,,
ENSGALG00010007300,1,CCDC125,ENSG00000183323,CCDC125
ENSGALG00010007301,1,Vault,,
ENSGALG00010007302,1,CDH11,ENSG00000140937,CDH11
ENSGALG00010007303,1,U6,ENSG00000201586,RNU6-593P
ENSGALG00010007304,1,F5,ENSG00000198734,F5
ENSGALG00010007305,1,,,
ENSGALG00010007306,1,U1,ENSG00000270384,RNU1-154P
ENSGALG00010007306,1,U1,ENSG00000206791,RNU1-129P
ENSGALG00010007306,1,U1,ENSG00000201142,RNU1-151P
ENSGALG00010007306,1,U1,ENSG00000202167,RNU1-114P
ENSGALG00010007307,1,,,
ENSGALG00010007308,1,,,
ENSGALG00010007309,1,,ENSG00000010318,PHF7
ENSGALG00010007310,1,,,
ENSGALG00010007311,1,gga-mir-1739,,
ENSGALG00010007312,1,gga-mir-1799,,
ENSGALG00010007313,1,,,
ENSGALG00010007314,1,gga-mir-3532,,
ENSGALG00010007315,1,,,
ENSGALG00010007316,1,,,
ENSGALG00010007317,1,gga-mir-1718,,
ENSGALG00010007318,1,RMDN2,ENSG00000115841,RMDN2
ENSGALG00010007319,1,ATP9B,ENSG00000166377,ATP9B
ENSGALG00010007320,1,,,
ENSGALG00010007321,1,CD200,ENSG00000091972,CD200
ENSGALG00010007322,1,AK6,ENSG00000085231,AK6
ENSGALG00010007323,1,,,
ENSGALG00010007324,1,GAN,ENSG00000261609,GAN
ENSGALG00010007325,1,,,
ENSGALG00010007326,1,RWDD4,ENSG00000182552,RWDD4
ENSGALG00010007327,1,,,
ENSGALG00010007328,1,NOVA1,,
ENSGALG00010007329,1,,,
ENSGALG00010007330,1,MMP13,ENSG00000137745,MMP13
ENSGALG00010007331,1,,,
ENSGALG00010007332,1,,,
ENSGALG00010007333,1,QTRT2,ENSG00000151576,QTRT2
ENSGALG00010007334,1,SALL3,ENSG00000256463,SALL3
ENSGALG00010007335,1,,,
ENSGALG00010007336,1,,,
ENSGALG00010007337,1,PRORP,ENSG00000100890,PRORP
ENSGALG00010007338,1,,,
ENSGALG00010007339,1,,,
ENSGALG00010007340,1,,,
ENSGALG00010007341,1,,,
ENSGALG00010007342,1,,,
ENSGALG00010007343,1,,,
ENSGALG00010007344,1,RAD17,ENSG00000152942,RAD17
ENSGALG00010007345,1,,,
ENSGALG00010007346,1,,,
ENSGALG00010007347,1,,,
ENSGALG00010007348,1,,,
ENSGALG00010007349,1,,,
ENSGALG00010007350,1,,,
ENSGALG00010007351,1,,,
ENSGALG00010007352,1,,,
ENSGALG00010007353,1,ING2,ENSG00000168556,ING2
ENSGALG00010007354,1,,,
ENSGALG00010007355,1,,ENSG00000162771,GARIN4
ENSGALG00010007356,1,,,
ENSGALG00010007357,1,NOX4,ENSG00000086991,NOX4
ENSGALG00010007358,1,,,
ENSGALG00010007359,1,,,
ENSGALG00010007360,1,ROBO1,ENSG00000169855,ROBO1
ENSGALG00010007361,1,,,
ENSGALG00010007362,1,,ENSG00000010318,PHF7
ENSGALG00010007363,1,,,
ENSGALG00010007364,1,,,
ENSGALG00010007365,1,MEMO1,ENSG00000162959,MEMO1
ENSGALG00010007366,1,,,
ENSGALG00010007367,1,,,
ENSGALG00010007368,1,,,
ENSGALG00010007369,1,,,
ENSGALG00010007370,1,,,
ENSGALG00010007371,1,,,
ENSGALG00010007372,1,,,
ENSGALG00010007373,1,,,
ENSGALG00010007374,1,CMIP,ENSG00000153815,CMIP
ENSGALG00010007375,1,CHORDC1,ENSG00000110172,CHORDC1
ENSGALG00010007376,1,CDKN2AIP,ENSG00000168564,CDKN2AIP
ENSGALG00010007377,1,,,
ENSGALG00010007378,1,,,
ENSGALG00010007379,1,,,
ENSGALG00010007380,1,,ENSG00000162771,GARIN4
ENSGALG00010007381,1,EGFR,ENSG00000146648,EGFR
ENSGALG00010007382,1,EIF2AK2,ENSG00000055332,EIF2AK2
ENSGALG00010007383,1,,,
ENSGALG00010007384,1,,,
ENSGALG00010007385,1,,,
ENSGALG00010007386,1,,,
ENSGALG00010007387,1,,,
ENSGALG00010007388,1,CYP1B1,ENSG00000138061,CYP1B1
ENSGALG00010007389,1,,,
ENSGALG00010007390,1,,,
ENSGALG00010007391,1,NANP,ENSG00000170191,NANP
ENSGALG00010007392,1,NAALAD2,ENSG00000077616,NAALAD2
ENSGALG00010007393,1,PLCG2,ENSG00000197943,PLCG2
ENSGALG00010007394,1,,,
ENSGALG00010007395,1,,ENSG00000162771,GARIN4
ENSGALG00010007396,1,,,
ENSGALG00010007397,1,,,
ENSGALG00010007398,1,,,
ENSGALG00010007399,1,WWC2,ENSG00000151718,WWC2
ENSGALG00010007400,1,TYMP,ENSG00000025708,TYMP
ENSGALG00010007401,1,SEC61G,ENSG00000132432,SEC61G
ENSGALG00010007402,1,,,
ENSGALG00010007403,1,SDR42E1,ENSG00000184860,SDR42E1
ENSGALG00010007404,1,FOLH1,ENSG00000086205,FOLH1
ENSGALG00010007405,1,,,
ENSGALG00010007406,1,,,
ENSGALG00010007407,1,,,
ENSGALG00010007408,1,HCLS1,ENSG00000180353,HCLS1
ENSGALG00010007409,1,,,
ENSGALG00010007410,1,,,
ENSGALG00010007411,1,,,
ENSGALG00010007412,1,,,
ENSGALG00010007413,1,GPATCH11,ENSG00000152133,GPATCH11
ENSGALG00010007414,1,ROBO2,ENSG00000185008,ROBO2
ENSGALG00010007415,1,OR9Q1,,
ENSGALG00010007416,1,DCTD,ENSG00000129187,DCTD
ENSGALG00010007417,1,,,
ENSGALG00010007418,1,NME6,ENSG00000172113,NME6
ENSGALG00010007419,1,RABL2A,ENSG00000079974,RABL2B
ENSGALG00010007419,1,RABL2A,ENSG00000144134,RABL2A
ENSGALG00010007420,1,,,
ENSGALG00010007421,1,,ENSG00000010318,PHF7
ENSGALG00010007422,1,ACR,,
ENSGALG00010007423,1,HEATR5B,ENSG00000008869,HEATR5B
ENSGALG00010007424,1,,,
ENSGALG00010007425,1,ARSA,ENSG00000100299,ARSA
ENSGALG00010007426,1,,,
ENSGALG00010007427,1,ACRL,,
ENSGALG00010007428,1,,,
ENSGALG00010007429,1,C21orf91,ENSG00000154642,C21orf91
ENSGALG00010007430,1,MEF2C,ENSG00000081189,MEF2C
ENSGALG00010007431,1,,,
ENSGALG00010007432,1,NAT,ENSG00000171428,NAT1
ENSGALG00010007432,1,NAT,ENSG00000156006,NAT2
ENSGALG00010007433,1,RNF144B,ENSG00000137393,RNF144B
ENSGALG00010007434,1,,,
ENSGALG00010007435,1,,,
ENSGALG00010007436,1,PNAT3,ENSG00000171428,NAT1
ENSGALG00010007436,1,PNAT3,ENSG00000156006,NAT2
ENSGALG00010007437,1,TUSC1,ENSG00000198680,TUSC1
ENSGALG00010007438,1,,,
ENSGALG00010007439,1,HSD17B2,ENSG00000086696,HSD17B2
ENSGALG00010007440,1,,,
ENSGALG00010007441,1,STRN,ENSG00000115808,STRN
ENSGALG00010007442,1,,,
ENSGALG00010007443,1,,,
ENSGALG00010007444,1,,,
ENSGALG00010007445,1,,,
ENSGALG00010007446,1,,,
ENSGALG00010007447,1,,,
ENSGALG00010007448,1,,,
ENSGALG00010007449,1,,,
ENSGALG00010007450,1,,,
ENSGALG00010007451,1,,,
ENSGALG00010007452,1,,,
ENSGALG00010007453,1,,,
ENSGALG00010007454,1,,,
ENSGALG00010007455,1,TRPC6,ENSG00000137672,TRPC6
ENSGALG00010007456,1,,,
ENSGALG00010007457,1,SHANK3,ENSG00000251322,SHANK3
ENSGALG00010007458,1,,,
ENSGALG00010007459,1,,,
ENSGALG00010007460,1,,,
ENSGALG00010007461,1,,,
ENSGALG00010007462,1,,,
ENSGALG00010007463,1,,,
ENSGALG00010007464,1,,,
ENSGALG00010007465,1,PNAT10,ENSG00000171428,NAT1
ENSGALG00010007465,1,PNAT10,ENSG00000156006,NAT2
ENSGALG00010007466,1,,,
ENSGALG00010007467,1,CHODL,ENSG00000154645,CHODL
ENSGALG00010007468,1,,,
ENSGALG00010007469,1,,,
ENSGALG00010007470,1,,,
ENSGALG00010007471,1,,,
ENSGALG00010007472,1,,,
ENSGALG00010007473,1,,,
ENSGALG00010007474,1,,,
ENSGALG00010007475,1,,,
ENSGALG00010007476,1,,,
ENSGALG00010007477,1,,,
ENSGALG00010007478,1,,,
ENSGALG00010007479,1,NFX1,ENSG00000086102,NFX1
ENSGALG00010007480,1,TENM3,ENSG00000218336,TENM3
ENSGALG00010007481,1,,,
ENSGALG00010007482,1,,,
ENSGALG00010007483,1,,,
ENSGALG00010007484,1,,,
ENSGALG00010007485,1,CTSC,ENSG00000109861,CTSC
ENSGALG00010007486,1,,,
ENSGALG00010007487,1,,,
ENSGALG00010007488,1,,,
ENSGALG00010007489,1,,,
ENSGALG00010007490,1,,,
ENSGALG00010007491,1,,,
ENSGALG00010007492,1,,,
ENSGALG00010007493,1,,,
ENSGALG00010007494,1,,,
ENSGALG00010007495,1,,,
ENSGALG00010007496,1,,,
ENSGALG00010007497,1,,,
ENSGALG00010007498,1,,,
ENSGALG00010007499,1,,,
ENSGALG00010007500,1,MPHOSPH6,ENSG00000135698,MPHOSPH6
ENSGALG00010007501,1,U6,ENSG00000252214,RNU6-542P
ENSGALG00010007502,1,,ENSG00000207051,SNORA27
ENSGALG00010007502,1,,ENSG00000252459,
ENSGALG00010007503,1,,,
ENSGALG00010007504,1,TMPRSS15,ENSG00000154646,TMPRSS15
ENSGALG00010007505,1,SNORD102,ENSG00000207500,SNORD102
ENSGALG00010007506,1,RAB38,ENSG00000123892,RAB38
ENSGALG00010007507,1,,,
ENSGALG00010007508,1,,,
ENSGALG00010007509,1,,,
ENSGALG00010007510,1,,,
ENSGALG00010007511,1,,,
ENSGALG00010007512,1,gga-mir-1646,,
ENSGALG00010007513,1,GALNT12,ENSG00000119514,GALNT12
ENSGALG00010007514,1,VIT,ENSG00000205221,VIT
ENSGALG00010007515,1,gga-mir-6641,,
ENSGALG00010007516,1,gga-mir-7449,,
ENSGALG00010007517,1,,,
ENSGALG00010007518,1,gga-mir-1709,,
ENSGALG00010007519,1,gga-mir-6656,,
ENSGALG00010007520,1,,,
ENSGALG00010007521,1,SLC12A7,ENSG00000113504,SLC12A7
ENSGALG00010007522,1,,,
ENSGALG00010007523,1,,,
ENSGALG00010007524,1,,,
ENSGALG00010007525,1,,,
ENSGALG00010007526,1,,,
ENSGALG00010007527,1,,,
ENSGALG00010007528,1,,,
ENSGALG00010007529,1,CDH13,ENSG00000140945,CDH13
ENSGALG00010007530,1,,,
ENSGALG00010007531,1,,,
ENSGALG00010007532,1,DCUN1D5,ENSG00000137692,DCUN1D5
ENSGALG00010007533,1,,,
ENSGALG00010007534,1,,,
ENSGALG00010007535,1,,,
ENSGALG00010007536,1,GABBR2,ENSG00000136928,GABBR2
ENSGALG00010007537,1,,,
ENSGALG00010007538,1,,,
ENSGALG00010007539,1,RPS3A,ENSG00000145425,RPS3A
ENSGALG00010007540,1,,,
ENSGALG00010007541,1,,,
ENSGALG00010007542,1,MRPL36,ENSG00000171421,MRPL36
ENSGALG00010007543,1,,,
ENSGALG00010007544,1,MLYCD,ENSG00000103150,MLYCD
ENSGALG00010007545,1,,,
ENSGALG00010007546,1,MMP10,ENSG00000262406,MMP12
ENSGALG00010007546,1,MMP10,ENSG00000166670,MMP10
ENSGALG00010007546,1,MMP10,ENSG00000167346,MMP26
ENSGALG00010007547,1,,,
ENSGALG00010007548,1,HSBP1,ENSG00000230989,HSBP1
ENSGALG00010007549,1,SH3D19,ENSG00000109686,SH3D19
ENSGALG00010007550,1,,,
ENSGALG00010007551,1,FEZ2,ENSG00000171055,FEZ2
ENSGALG00010007552,1,,,
ENSGALG00010007553,1,,,
ENSGALG00010007554,1,MMP3,ENSG00000262406,MMP12
ENSGALG00010007554,1,MMP3,ENSG00000166670,MMP10
ENSGALG00010007554,1,MMP3,ENSG00000167346,MMP26
ENSGALG00010007555,1,NDUFS6,ENSG00000145494,NDUFS6
ENSGALG00010007556,1,,,
ENSGALG00010007557,1,,,
ENSGALG00010007558,1,,,
ENSGALG00010007559,1,,,
ENSGALG00010007560,1,,,
ENSGALG00010007561,1,,,
ENSGALG00010007562,1,,,
ENSGALG00010007563,1,,,
ENSGALG00010007564,1,IRX4,ENSG00000113430,IRX4
ENSGALG00010007565,1,,,
ENSGALG00010007566,1,FHIP1A,ENSG00000164142,FHIP1A
ENSGALG00010007567,1,TRIP13,ENSG00000071539,TRIP13
ENSGALG00010007568,1,,,
ENSGALG00010007569,1,GPR89A,ENSG00000188092,GPR89B
ENSGALG00010007569,1,GPR89A,ENSG00000117262,GPR89A
ENSGALG00010007570,1,,,
ENSGALG00010007571,1,MMP1,ENSG00000196611,MMP1
ENSGALG00010007572,1,PDZK1P1,ENSG00000174827,PDZK1
ENSGALG00010007573,1,,,
ENSGALG00010007574,1,,,
ENSGALG00010007575,1,MMP27,ENSG00000137675,MMP27
ENSGALG00010007576,1,,,
ENSGALG00010007577,1,WFDC1,ENSG00000103175,WFDC1
ENSGALG00010007578,1,,ENSG00000206531,CD200R1L
ENSGALG00010007578,1,,ENSG00000163606,CD200R1
ENSGALG00010007579,1,GATB,ENSG00000059691,GATB
ENSGALG00010007580,1,BRD9,ENSG00000028310,BRD9
ENSGALG00010007581,1,LPCAT1,ENSG00000153395,LPCAT1
ENSGALG00010007582,1,,,
ENSGALG00010007583,1,,,
ENSGALG00010007584,1,ELP2,ENSG00000134759,ELP2
ENSGALG00010007585,1,KCNG4,ENSG00000168418,KCNG4
ENSGALG00010007586,1,MMP7,,
ENSGALG00010007587,1,,,
ENSGALG00010007588,1,TTC27,ENSG00000018699,TTC27
ENSGALG00010007589,1,,,
ENSGALG00010007590,1,FBXW7,ENSG00000109670,FBXW7
ENSGALG00010007591,1,,,
ENSGALG00010007592,1,,,
ENSGALG00010007593,1,SEC61B,ENSG00000106803,SEC61B
ENSGALG00010007594,1,,,
ENSGALG00010007595,1,ATP2C2,ENSG00000064270,ATP2C2
ENSGALG00010007596,1,,,
ENSGALG00010007597,1,SMKR1,ENSG00000240204,SMKR1
ENSGALG00010007598,1,,,
ENSGALG00010007599,1,,,
ENSGALG00010007600,1,,,
ENSGALG00010007601,1,TMEM154,ENSG00000170006,TMEM154
ENSGALG00010007602,1,,,
ENSGALG00010007603,1,ALG2,ENSG00000119523,ALG2
ENSGALG00010007604,1,,,
ENSGALG00010007605,1,,,
ENSGALG00010007606,1,,,
ENSGALG00010007607,1,,,
ENSGALG00010007608,1,,,
ENSGALG00010007609,1,,,
ENSGALG00010007610,1,TLDC1,ENSG00000140950,MEAK7
ENSGALG00010007611,1,,,
ENSGALG00010007612,1,,,
ENSGALG00010007613,1,,,
ENSGALG00010007614,1,BIRC6,ENSG00000115760,BIRC6
ENSGALG00010007615,1,,,
ENSGALG00010007616,1,,,
ENSGALG00010007617,1,,,
ENSGALG00010007618,1,,,
ENSGALG00010007619,1,,,
ENSGALG00010007620,1,,,
ENSGALG00010007621,1,,,
ENSGALG00010007622,1,,,
ENSGALG00010007623,1,,,
ENSGALG00010007624,1,TPPP,ENSG00000171368,TPPP
ENSGALG00010007625,1,,,
ENSGALG00010007626,1,DLK2,ENSG00000171462,DLK2
ENSGALG00010007627,1,,,
ENSGALG00010007628,1,,,
ENSGALG00010007629,1,,,
ENSGALG00010007630,1,,,
ENSGALG00010007631,1,,,
ENSGALG00010007632,1,,,
ENSGALG00010007633,1,ABCC10,ENSG00000124574,ABCC10
ENSGALG00010007633,1,ABCC10,ENSG00000121270,ABCC11
